"precinct","office","candidate","party_detailed","party_simplified","votes","county_name","jurisdiction_name","year","stage","state","special","date","county_fips"
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHASE OLIVER & MIKE  TER MAAT","LIBERTARIAN","LIBERTARIAN",3,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHERUNDA LYNN FOX (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CLAUDIA DE LA CRUZ & KARINA  GARCIA  (W/I)","PARTY FOR SOCIALISM AND LIBERATION","LIBERTARIAN",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CORNEL WEST & MELINA  ABDULLAH  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DONALD J TRUMP & JD  VANCE","REPUBLICAN","REPUBLICAN",525,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DOUG JENKINS (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","KAMALA D. HARRIS & TIM  WALZ","DEMOCRATIC","DEMOCRAT",120,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","NALA BAOZUN SCOTT JOHNSON JR (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PAIJ BORING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PETER SONSKI (W/I)","AMERICAN SOLIDARITY","OTHER",1,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ROBERT F. KENNEDY JR. & NICOLE  SHANAHAN","WE THE PEOPLE","OTHER",6,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SHONDRA IRVING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SUSAN MAUDE BUCHSER (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHASE OLIVER & MIKE  TER MAAT","LIBERTARIAN","LIBERTARIAN",2,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHERUNDA LYNN FOX (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CLAUDIA DE LA CRUZ & KARINA  GARCIA  (W/I)","PARTY FOR SOCIALISM AND LIBERATION","LIBERTARIAN",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CORNEL WEST & MELINA  ABDULLAH  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DONALD J TRUMP & JD  VANCE","REPUBLICAN","REPUBLICAN",204,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DOUG JENKINS (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","KAMALA D. HARRIS & TIM  WALZ","DEMOCRATIC","DEMOCRAT",29,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","NALA BAOZUN SCOTT JOHNSON JR (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PAIJ BORING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PETER SONSKI (W/I)","AMERICAN SOLIDARITY","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ROBERT F. KENNEDY JR. & NICOLE  SHANAHAN","WE THE PEOPLE","OTHER",2,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SHONDRA IRVING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SUSAN MAUDE BUCHSER (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHASE OLIVER & MIKE  TER MAAT","LIBERTARIAN","LIBERTARIAN",18,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHERUNDA LYNN FOX (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CLAUDIA DE LA CRUZ & KARINA  GARCIA  (W/I)","PARTY FOR SOCIALISM AND LIBERATION","LIBERTARIAN",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CORNEL WEST & MELINA  ABDULLAH  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DONALD J TRUMP & JD  VANCE","REPUBLICAN","REPUBLICAN",685,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DOUG JENKINS (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","KAMALA D. HARRIS & TIM  WALZ","DEMOCRATIC","DEMOCRAT",395,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","NALA BAOZUN SCOTT JOHNSON JR (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PAIJ BORING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PETER SONSKI (W/I)","AMERICAN SOLIDARITY","OTHER",1,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ROBERT F. KENNEDY JR. & NICOLE  SHANAHAN","WE THE PEOPLE","OTHER",15,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SHONDRA IRVING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SUSAN MAUDE BUCHSER (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHASE OLIVER & MIKE  TER MAAT","LIBERTARIAN","LIBERTARIAN",10,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHERUNDA LYNN FOX (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CLAUDIA DE LA CRUZ & KARINA  GARCIA  (W/I)","PARTY FOR SOCIALISM AND LIBERATION","LIBERTARIAN",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CORNEL WEST & MELINA  ABDULLAH  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DONALD J TRUMP & JD  VANCE","REPUBLICAN","REPUBLICAN",642,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DOUG JENKINS (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","KAMALA D. HARRIS & TIM  WALZ","DEMOCRATIC","DEMOCRAT",369,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","NALA BAOZUN SCOTT JOHNSON JR (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PAIJ BORING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PETER SONSKI (W/I)","AMERICAN SOLIDARITY","OTHER",2,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ROBERT F. KENNEDY JR. & NICOLE  SHANAHAN","WE THE PEOPLE","OTHER",11,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SHONDRA IRVING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SUSAN MAUDE BUCHSER (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHASE OLIVER & MIKE  TER MAAT","LIBERTARIAN","LIBERTARIAN",7,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CHERUNDA LYNN FOX (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CLAUDIA DE LA CRUZ & KARINA  GARCIA  (W/I)","PARTY FOR SOCIALISM AND LIBERATION","LIBERTARIAN",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CORNEL WEST & MELINA  ABDULLAH  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DONALD J TRUMP & JD  VANCE","REPUBLICAN","REPUBLICAN",339,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","DOUG JENKINS (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","KAMALA D. HARRIS & TIM  WALZ","DEMOCRATIC","DEMOCRAT",168,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","NALA BAOZUN SCOTT JOHNSON JR (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PAIJ BORING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","PETER SONSKI (W/I)","AMERICAN SOLIDARITY","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ROBERT F. KENNEDY JR. & NICOLE  SHANAHAN","WE THE PEOPLE","OTHER",-8,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SHONDRA IRVING (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","SUSAN MAUDE BUCHSER (W/I)","OTHER","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","TOM HOEFLING & ANDY  PRIOR  (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","WILLIAM CODY NALBACH (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","ANDRÉ RAMON MCNEIL SR. (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
"Precinct","US PRESIDENT & VICE PRESIDENT","CAROL ASHER (W/I)","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY","STATEWIDE",2024,"GEN","IN","FALSE","2024-11-05",18699
